id,Topo,X,Y,Z,diameter,code1,code2,code3
1,*^/A1/S1,149.0899963,1.779999971,110.4499969,4.2,mainst,,
2,/S2,148.1199951,2.049999952,107.4700012,4.2,mainst,,
3,/S3,146.9299927,1.889999986,104.2799988,4.3,mainst,,
4,/S4,145.9199982,2.730000019,101.1500015,4.1,mainst,,
5,/S5,144.7899933,2.970000029,98.41000366,4,mainst,,
6,/S6,143.6699982,3.170000076,95.27999878,4.4,mainst,,
7,/S7,143.1799927,3.150000095,92.05000305,4.2,mainst,,
8,/S8,142.5599976,3.730000019,88.54000092,3.5,mainst,,
9,/S9,141.8600006,4.539999962,84.77999878,3.1,mainst,,
10,/S10,140.3099976,4.690000057,81.25,3,mainst,,
11,/S11,139.2100067,5.210000038,76.37999725,3,mainst,,
12,/S12,137.5599976,5.510000229,72.26000214,3.2,mainst,,
13,/S13,136.3800049,5.570000172,68.94999695,2.5,mainst,,
14,/S14,135.25,6.730000019,65.20999908,1.9,mainst,,
15,/S15,133.6699982,6.070000172,60.70999908,1.7,mainst,,
16,/S16,132.2400055,5.489999771,56.09000015,1.8,mainst,,
17,/S17,131.4100037,5.440000057,53.36999893,1.7,mainst,,
18,/S18,130.3000031,5.340000153,51.47000122,1.5,mainst,,
19,/S19,128.5099945,5.179999828,47.20000076,1.4,mainst,,
20,/S20,127.5400009,5.03000021,44.61000061,1.4,mainst,,
21,/S21,125.2900009,4.710000038,39.43999863,2,mainst,,main ap broken lateral branch formed
22,/S22,125.2200012,4.429999828,38.34999847,1.5,mainst,,
23,/S23,125.5699997,4.619999886,37.38000107,1.4,mainst,,
24,/S24,125.8399963,4.510000229,35.81000137,1.4,mainst,,
25,/S25,126.0299988,4.039999962,33.36000061,1.2,mainst,,
26,/S26,125.5999985,3.930000067,30.12000084,1.2,mainst,,
27,/S27,124.9800034,3.680000067,25.61000061,1.2,mainst,,
28,/S28,123.8799973,3.539999962,18.94000053,1.1,mainst,,
29,/S29,123.2900009,3.779999971,13.78999996,1.1,mainst,,
30,/S30,122.5800018,3.920000076,9.449999809,1.1,mainst,,
31,/S31,122.3499985,4.139999866,4.71999979,1.2,mainst,,
32,/S32,122.1299973,4.25,0.419999987,1.1,mainst,,
33,/S33,121.6299973,3.970000029,-4.920000076,1.3,mainst,,
34,/S34,121.5299988,3.74000001,-6.510000229,1.7,mainst,,
35,/S35,121.3899994,3.210000038,-8.090000153,1.1,mainst,,
36,/S36,121.2900009,3.480000019,-9.640000343,1.1,mainst,,
37,/S37,121.2900009,3.319999933,-11.89000034,0.9,mainst,,
38,/S38,121.0699997,2.829999924,-17.12999916,0.9,mainst,,
39,/S39,120.6500015,2.339999914,-22.53000069,0.7,mainst,,
40,/S40,120.3300018,1.820000052,-26.51000023,0.9,mainst,,
41,/S41,120.3099976,1.600000024,-28.63999939,0.7,mainst,,
42,/S42,120.0999985,1.289999962,-31.81999969,0.8,mainst,,
43,/S43,119.8099976,1.330000043,-33.22000122,1,mainst,,
44,/S44,120.0199966,1.309999943,-34.75999832,0.8,mainst,,
45,/S45,119.8000031,1.309999943,-38.56999969,0.5,mainst,,
46,/S46,119.5,1.480000019,-40.34000015,0.6,mainst,,
47,/S47,119.4800034,1.580000043,-42.63000107,0.7,apbud,,ap bud
48,/S48,119.9700012,1.539999962,-45.72000122,0.7,apbud,,ap bud
49,/S49,120.5899963,2.380000114,-50.11999893,0.1,apbud,,ap bud
50,*^/A1/S1,148,1.89,106.31,4.3,rt,,
51,/S2,146.77,0.81,108.14,2.8,rt,,
52,/S3,146.66,0.29,109.22,2.5,rt,,
53,/S4,146.7,-0.23,110.87,2.5,rt,,
54,*^/A1/S1,146.57,1.62,103.26,4.2,rt,,
55,/S2,144.25,3.32,104.88,1.9,rt,,
56,/S3,143.82,3.9,106.92,2,rt,,
57,/S4,143.7,3.7,108.7,2,rt,,
58,*^/A1/S1,144.53,2.4,96.75,4,rt,,
59,/S2,142.77,4.81,98.96,2,rt,,
60,/S3,141.94,5.37,101.66,2,rt,,
61,/S4,141.52,5.82,103.88,2.8,rt,,
62,/S5,141.67,6.92,106.12,2.9,rt,,
63,/S6,141.5,8.53,108.77,3.5,rt,,
64,*^/A1/S1,143.67,2.33,94.03,4.1,rt,,
65,/S2,141.5,3.7,95.58,2.6,rt,,
66,/S3,140.29,4.05,97.83,2.6,rt,,
67,/S4,139.69,4.27,100.58,2.7,rt,,
68,/S5,138.28,4.25,103.96,3.2,rt,,
69,/S6,138.16,4.81,105.81,3.1,rt,,
70,*^/A1/S1,138.44,4.29,104.73,3.6,rt,,
71,/S2,139.91,4.35,106.01,2.3,rt,,
72,/S3,139.78,4.81,107.7,2.2,rt,,
73,/S4,140.18,4.93,109.03,2.2,rt,,
74,*^/A1/S1,138.35,4.19,104.79,3.6,rt,,
75,/S2,136.57,4.85,105.86,2.1,rt,,
76,/S3,136.28,4.78,107.67,1.9,rt,,
77,/S4,136.03,5.52,109.33,1.9,rt,,
78,*^/A1/S1,138.2448863,5.688263266,104.777623,3.1,rt,,
79,/S2,137.4048863,7.108263266,106.977623,2,rt,,
80,/S3,137.5448863,7.098263266,108.467623,2,rt,,
81,/S4,137.4148863,7.678263266,109.907623,2,rt,,
82,*^/A1/S1,140.86,8.39,106.4,2.8,rt,,
84,/S3,139.21,8.85,107.11,2,rt,,
85,/S4,138.5,9.02,108.28,2,rt,,
86,*^/A1/S1,143.22,2.55,89.98,4.4,rt,,
87,/S2,145.22,2.31,90.37,2.4,rt,,
88,/S3,147.69,1.55,92.66,2.2,rt,,
89,/S4,149.89,1.1,95.17,2.3,rt,,
90,/S5,152.14,0.58,98.4,2.6,rt,,
91,/S6,154.41,0.67,101.44,2.8,rt,,
92,/S7,156.15,0.4,103.92,3,rt,,
93,/S8,157.7,0.15,105.91,3,rt,,
94,/S9,159.74,0.18,108.14,3.1,rt,,
95,*^/A1/S1,152.2,0.1,98.83,2.7,rt,,suspended
96,/S2,151.78,1.28,100.42,0.7,rt,,
97,/S3,151.96,1.26,101.66,0.6,rt,,
98,/S4,152.05,1.66,103.35,0.4,rt,,
99,*^/A1/S1,155.95,0.12,104.58,2.9,rt,,
100,/S2,155.94,1.38,105.93,1.2,rt,,
101,/S3,155.44,2.19,107.79,1.4,rt,,
102,/S4,155.66,2.12,109.62,1.7,rt,,
103,*^/A1/S1,140.51,5.57,79.36,3.1,rt,,
104,/S2,142.2,8.23,79.72,2.7,rt,,
105,/S3,144.24,10.56,80.66,2,rt,,
106,/S4,147.55,14.85,81.66,2.1,rt,,
107,/S5,149.95,17.76,83.15,2.1,rt,,
108,/S6,152.22,20.71,84.73,2.2,rt,,
109,/S7,154.46,23.43,85.87,2.3,rt,,
110,/S8,156.27,25.76,87.54,2.5,rt,,
111,/S9,158.08,28.35,89.31,2.6,rt,,
112,/S10,160.67,31.86,90.91,2.8,rt,,
113,/S11,162.85,34,93.69,3,rt,,
114,/S12,164.48,37.16,95.21,3.5,rt,,
115,*^/A1/S1,164.33,37.24,95.14,3.5,rt,,
116,/S2,165.03,39.11,94.71,2.7,rt,,
117,/S3,166.49,41.32,96.7,2.6,rt,,
118,/S4,167.18,43.4,99.29,2.5,rt,,
119,/S5,168.32,45.08,101.38,2.8,rt,,
120,/S6,169.74,45.61,103.78,3,rt,,
121,/S7,170.03,46.23,104.66,2.2,rt,,
122,/S8,171.16,47.77,105.64,2.1,rt,,
123,/S9,172.22,47.72,106.79,2.1,rt,,
124,*^/A1/S1,169.4705316,45.06472728,103.6870287,2.8,rt,,
125,/S2,169.5705316,44.82472728,104.8570287,2,rt,,
126,/S3,170.3805316,44.10472728,106.2970287,2,rt,,
127,/S4,170.5205316,44.06472728,107.8570287,2,rt,,
128,*^/A1/S1,169.4654059,45.68590825,103.7852994,2.8,rt,,
129,/S2,169.5354059,47.13590825,104.9252994,2,rt,,
130,/S3,169.2254059,46.86590825,106.5452994,2,rt,,
131,/S4,170.2854059,47.16590825,107.8852994,2,rt,,
132,*^/A1/S1,163.82,37.34,95.44,3.4,rt,,
133,/S2,164.96,36.68,97.65,2.7,rt,,
134,/S3,165.9,38.25,99.33,2.5,rt,,
135,/S4,166.38,39.48,101.62,2.6,rt,,
136,/S5,167.24,40.42,103.71,2.5,rt,,
137,/S6,167.88,41.75,106.05,2.5,rt,,
138,/S7,168.31,43.32,108.23,2.4,rt,,
139,*^/A1/S1,163.6987618,37.6110044,95.88506899,3.5,rt,,
140,/S2,163.5287618,39.4810044,97.44506899,2.2,rt,,
141,/S3,163.2987618,40.7610044,99.50506899,2.3,rt,,
142,/S4,163.1887618,41.4910044,102.815069,2.3,rt,,
143,/S5,163.1587618,42.9810044,107.705069,2.5,rt,,might need smoothing
145,*^/A1/S1,160.57,32.75,91.74,3,rt,,
146,/S2,160.93,33.6,90.96,2,rt,,
147,/S3,161.98,35.91,91.25,1.5,rt,,
148,/S4,162.9,37.62,90.91,1.5,rt,,
149,/S5,164.23,39.84,91.37,1.5,rt,,
150,/S6,165.21,42.13,92.64,1.6,rt,,
151,/S7,165.93,43.71,94.11,1.6,rt,,
152,/S8,167.05,45.67,95.4,1.7,rt,,
153,/S9,167.75,46.88,97.2,1.7,rt,,
154,/S10,168.8,48.97,98.99,1.8,rt,,
155,/S11,169.94,50.46,100.06,1.9,rt,,
156,/S12,170.72,51.89,102.08,2.2,rt,,
157,/S13,170.64,53.42,102.52,1.5,rt,,
158,/S14,170.97,53.87,103.51,1.4,rt,,
159,/S15,171.38,54.36,104.83,1.4,rt,,
160,/S16,171.79,55.37,105.46,1.3,rt,,
161,/S17,171.75,55.79,107.6,1.4,rt,,
162,*^/A1/S1,170.88,51.56,101.93,2.2,rt,,
163,/S2,171.57,52.31,102.9,2,rt,,
164,/S3,172.1,53.39,103.42,1.2,rt,,
165,/S4,172.42,53.76,104.24,0.8,rt,,
166,/S5,173.41,53.6,104.88,0.8,rt,,
167,/S6,174.04,53.86,106.46,0.8,rt,,
168,/S7,174.63,54.36,107.16,0.8,rt,,
169,*^/A1/S1,136.98,6.15,70.31,3,rt,,
170,/S2,135.78,5.25,71.3,1.6,rt,,
171,/S3,134.56,3.94,72.31,1.6,rt,,
172,/S4,133.01,2.25,73.7,1.5,rt,,
173,/S5,131.53,0.75,75.15,1.4,rt,,
174,/S6,130.25,-1.05,77.05,1.4,rt,,
175,/S7,128.38,-2.84,79.45,1.4,rt,,
176,/S8,127,-4.56,81.3,1.5,rt,,
177,/S9,125.69,-5.87,83.36,1.5,rt,,
178,/S10,124.54,-7.67,85.13,1.5,rt,,
179,/S11,123.24,-8.92,86.67,1.5,rt,,
180,/S12,122.18,-10.22,88.7,1.6,rt,,
181,/S13,121,-12.04,90.65,1.7,rt,,
183,/S15,119.98,-12.95,91.35,1.2,rt,,
184,/S16,119.87,-13.85,91.64,1.4,rt,,
185,/S17,119.62,-14.62,91.89,1.7,rt,,root damaged
186,*^/A1/S1,120.6792905,-12.55368398,91.48354744,2,rt,,
187,/S2,120.4692905,-12.09368398,92.53354744,1.4,rt,,
188,/S3,120.1892905,-12.31368398,94.79354744,1.5,rt,,
189,/S4,120.2292905,-12.74368398,96.82354744,1.9,rt,,
190,/S5,120.6892905,-13.42368398,99.24354744,2.4,rt,,
191,/S6,121.3692905,-13.40368398,101.6135474,1.4,rt,,
192,/S7,122.0692905,-13.76368398,102.6835474,1.3,rt,,
193,/S8,122.6392905,-14.37368398,104.0935474,1.3,rt,,
194,/S9,123.4692905,-14.57368398,105.4335474,1.4,rt,,
195,/S10,123.8592905,-14.72368398,106.7835474,1.4,rt,,
196,/S11,124.5992905,-14.45368398,107.7335474,1.4,rt,,
197,/S12,124.9292905,-14.58368398,109.3835474,1.4,rt,,
198,/S13,125.1592905,-14.55368398,111.2535474,1.6,rt,,
199,*^/A1/S1,121.42,-13.27,102.29,2.4,rt,,
200,/S2,121.49,-12.02,103.26,1.6,rt,,
201,/S3,121.92,-11.28,104.22,1.5,rt,,
202,/S4,121.77,-10.62,106.47,1.5,rt,,
203,/S5,122.27,-10.09,108.13,1.5,rt,,
204,/S6,122.47,-10.31,110.37,1.5,rt,,
205,*^/A1/S1,121.01,-13.64,102.25,2.5,rt,,
206,/S2,119.99,-13.84,102.45,2,rt,,
207,/S3,119.1,-14.47,104.06,1.5,rt,,
208,/S4,118.57,-14.64,106.25,1.4,rt,,
209,/S5,118.36,-15.08,108.45,1.5,rt,,
210,/S6,117.93,-15.26,110.65,1.5,rt,,
211,*^/A1/S1,135.2,6.2,66.45,3.6,rt,,
212,/S2,133.88,8.52,69.27,2.3,rt,,
213,/S3,132.2,10.43,72.23,1.4,rt,,
214,/S4,130.27,12.47,75.88,1.5,rt,,
215,/S5,129.09,14.01,78.12,1.5,rt,,
216,/S6,127.76,15.67,80.98,1.5,rt,,
217,/S7,126.61,16.54,83.28,1.5,rt,,
218,/S8,125.25,17.86,86.03,1.6,rt,,
219,/S9,124.13,19.18,88.33,1.7,rt,,
220,/S10,123.21,20.09,90.59,2.5,rt,,
221,/S11,122.75,19.51,92.67,1.6,rt,,
222,/S12,122.92,19.15,95.56,1.5,rt,,
223,/S13,122.47,19.04,98.37,1.6,rt,,
224,/S14,122.45,19.07,101.59,1.8,rt,,
225,/S15,122.83,19.23,104.21,2,rt,,
226,/S16,122.48,19.17,106.74,2.1,rt,,
227,*^/A1/S1,123.12,20.24,90.26,2.4,rt,,
228,/S2,123.99,21.71,91.17,2,rt,,
229,/S3,124.81,22.96,93.13,1.7,rt,,
230,/S4,124.93,23.47,94.71,1.8,rt,,
231,/S5,125.52,24.5,96.73,1.9,rt,,
232,/S6,125.78,25.37,99.16,2,rt,,
233,/S7,125.77,25.92,100.91,2.3,rt,,
234,/S8,126.19,26.39,103.15,2.3,rt,,
235,/S9,126.82,27.02,105.55,2.6,rt,,
236,*^/A1/S1,125.91,25.63,100.97,2.1,rt,,suspended
237,/S2,125.26,24.37,102.09,0.7,rt,,
238,/S3,125.35,24.41,103.17,0.6,rt,,
239,/S4,125.09,24.26,104.49,0.5,rt,,
240,/S5,125.17,24.06,106.02,0.4,rt,,
241,*^/A1/S1,136.29,6.68,66.41,3,br,,
242,/S2,137.1,7.51,65.46,2.2,br,,
243,/S3,138.68,8.51,63.72,1.4,br,,
244,/S4,140.25,8.98,61.59,1.2,br,,
245,/S5,142.24,9.94,59.04,1.1,br,,
246,/S6,143.77,10.15,57.24,1,br,,
247,/S7,145.35,10.31,55.41,1.1,br,,
248,/S8,147.05,10.05,53.02,1.5,br,,
249,/S9,148.18,10.34,51.52,1.5,br,,
250,/S10,149.66,10.57,49.19,1.6,br,,everything from here below is alive
251,/S11,151.03,11.43,47.32,1.6,br,,tip broken hollow NL
252,*^/A1/S1,147.21,10.17,52.42,1.7,br,,
253,/S2,148.36,11.01,52.91,1.6,br,,
254,/S3,150.64,11.62,52.62,1.5,br,,
255,/S4,154.04,11.92,51.88,1.5,br,,
256,/S5,157.89,12.17,51.06,1.4,br,,
257,/S6,159.75,12.19,50.97,1.6,br,,
258,/S7,161.62,12.73,50.27,1.6,br,,
259,/S8,163.16,12.73,49.98,0.7,br,,
260,/S9,164.03,12.65,49.2,0.6,br,6,6 leaves
261,/S10,165.05,12.23,47.81,0.6,apbud,,ap bud
262,/S11,165.97,12.42,45.13,0.8,apbud,,ap bud
263,/S12,166.5,13.63,41.33,0.1,apbud,,ap bud
264,*^/A1/S1,149.56,10.69,49.59,1.6,br,,
265,/S2,150.53,11.99,49.55,1.6,br,,
266,/S3,152.74,13.67,48.94,0.6,br,,
267,/S4,154.85,14.96,48.21,0.6,br,,
268,/S5,156.88,16.95,48.08,0.6,br,,
269,/S6,158.71,17.93,47.21,0.6,br,,
270,/S7,160.64,19.55,46.02,0.6,br,,
271,/S8,162.11,20.71,45.3,0.6,br,,
272,/S9,163.74,21.79,44.03,0.7,br,,
273,/S10,165.14,22.09,43.1,0.9,br,,
274,/S11,165.34,23.08,42.13,1,br,,
275,/S12,165.35,23.56,41.5,0.6,br,3, 3 leaves
276,/S13,165.58,23.87,40.11,0.6,apbud,,ap bud
277,/S14,165.89,24.47,36.77,0.7,apbud,,ap bud
278,/S15,166.27,25.59,33.81,0.1,apbud,,ap bud
279,*^/A1/S1,165.57,23.21,42.1,0.9,br,,
280,/S2,165.72,24.32,42.46,0.6,br,,
281,/S3,166.14,26.09,42.5,0.5,br,,
282,/S4,165.98,27.85,42.21,0.5,br,,
283,/S5,166.18,29.32,41.41,0.6,br,,
284,/S6,166.18,31.58,40.78,0.5,br,6,6 leaves
285,/S7,166.26,33.06,39.81,0.7,apbud,,ap bud 
286,/S8,165.29,34.66,38.61,0.4,apbud,,ap bud
287,/S9,164.28,37.31,36.53,0.1,apbud,,ap bud
288,*^/A1/S1,147.36,10.32,52.57,1.7,br,,
289,/S2,146.48,10.15,51.32,0.9,br,,
290,/S3,144.67,9.02,49.01,0.7,br,,
291,/S4,142.86,8.39,47.35,0.7,br,,
292,/S5,141,7.8,44.69,0.7,br,,
293,/S6,139.75,7.34,43.74,0.8,br,,
294,/S7,138.11,6.81,42.79,0.9,br,,
295,/S8,136.64,6.55,41.98,0.7,br,,
296,/S9,134.13,5.88,40.81,0.9,br,,
297,/S10,132.16,5.54,38.99,1,br,,
298,/S11,130.08,5.16,37.86,0.7,br,8,8 leaves
299,/S12,128.57,4.7,36.34,0.7,apbud,,ap bud
300,/S13,126.78,5.05,32.79,0.1,apbud,,ap bud
301,*^/A1/S1,131.62,5.3,38.8,1,br,,
302,/S2,131.61,4.44,38.56,0.5,br,,
303,/S3,130.62,2.02,37.02,0.5,br,,
304,/S4,129.83,0.21,35.58,0.5,br,,
305,/S5,128.07,-2.85,33.64,0.5,br,,
306,/S6,126.77,-5.38,31.99,0.4,br,,
307,/S7,125.02,-8.03,30.03,0.6,br,,
308,/S8,124.63,-9.17,29.17,0.8,br,10,10 leaves
309,/S9,123.72,-9.76,28,0.6,apbud,,ap bud
310,/S10,122.17,-9.38,23.95,0.1,apbud,,ap bud
311,*^/A1/S1,131.65,5.57,38.93,1,br,,
312,/S2,130.59,5.89,39.3,0.5,br,,
313,/S3,128.94,6.31,39.87,0.5,br,,
314,/S4,126.54,7.3,40.03,0.5,br,,
315,/S5,124.56,7.82,39.31,0.5,br,,
316,/S6,118.55,8.96,36.64,0.5,br,,
317,/S7,114.98,10.11,34.56,0.5,br,,
318,/S8,114.22,10.1,34.3,0.5,br,,
319,/S9,112.8,10.41,32.94,0.7,br,10,10 leaves
320,/S10,110.17,10.76,28.61,0.7,apbud,,ap bud (ap length 5.5 cm)
322,*^/A1/S1,112.8638597,10.48507417,33.23199159,0.7,br,,
323,/S2,112.1538597,10.81507417,33.33199159,0.2,br,,
324,/S3,110.8838597,11.52507417,32.97199159,0.2,br,,
325,/S4,109.4638597,11.85507417,32.55199159,0.2,apbud,2,ap bud 2 leaves
326,/S5,106.6938597,13.22507417,31.20199159,0.1,apbud,,ap bud
327,*^/A1/S1,136.39,6.67,66.92,3.4,br,,
329,/S3,135.05,9.94,66.43,1.4,br,,
330,/S4,133.94,12.67,65.98,1.1,br,,
331,/S5,132.01,16.5,65.58,1,br,,
332,/S6,130.34,19.3,65.21,1,br,,
333,/S7,128.2,21.87,65.5,1.1,br,,
334,/S8,127.98,22.85,65.36,1.1,br,,
335,/S9,128.15,24.07,65.5,0.7,br,,dead to end NL
336,/S10,127.33,26.21,65.77,0.6,br,,
337,/S11,126.72,28.79,65.88,0.6,br,,
338,/S12,125.82,32.45,66.77,0.6,br,,tip broken
339,*^/A1/S1,127.91,22.25,65.41,1.2,br,,
340,/S2,127.16,22.64,65.51,1.1,br,,
341,/S3,125.6,23.04,65.46,1,br,,
342,/S4,123.93,24.04,65.28,1.1,br,,
343,/S5,122.65,24.26,64.6,0.9,br,,
344,/S6,120.89,25.1,63.31,0.9,br,,
345,/S7,118.56,25.82,61.1,0.9,br,,tip broken NL
346,*^/A1/S1,118.663016,25.56604426,61.5318187,1.2,br,,
347,/S2,118.093016,25.05604426,61.8418187,0.7,br,,
348,/S3,116.063016,24.13604426,62.6018187,0.6,br,,
349,/S4,113.043016,22.39604426,61.8818187,0.6,br,,
350,/S5,111.353016,21.12604426,61.1818187,0.6,br,,
351,/S6,109.213016,19.93604426,60.3318187,0.5,br,,
352,/S7,106.273016,17.72604426,57.9718187,0.5,br,10,10 leaves
353,/S8,105.003016,16.57604426,57.1018187,0.7,br,,
354,/S9,103.293016,15.71604426,55.0718187,0.5,apbud,,ap bud
355,/S10,101.603016,15.59604426,52.1018187,0.3,apbud,,ap bud but last one missing length 6 cm ap bud total
356,*^/A1/S1,105.4041858,17.26468381,57.39760049,0.7,br,,
357,/S2,104.9941858,17.78468381,56.79760049,0.4,br,,
358,/S3,101.9341858,20.02468381,54.31760049,0.3,br,,
359,/S4,100.8041858,21.48468381,52.82760049,0.3,br,,
360,/S5,99.26418582,23.45468381,51.62760049,0.3,br,6,6 leaves
361,/S6,96.49418582,26.95468381,49.15760049,0.5,apbud,,ap bud
362,/S7,95.66418582,30.08468381,47.18760049,0.1,apbud,,ap bud
363,*^/A1/S1,123.9581481,23.98773661,65.5673234,1.2,br,,
364,/S2,123.2981481,24.17773661,66.1173234,0.5,br,,
365,/S3,121.2881481,24.20773661,66.9273234,0.5,br,,
366,/S4,119.3081481,24.24773661,67.2473234,0.5,br,,
367,/S5,116.4181481,24.05773661,67.2273234,0.5,br,,
368,/S6,113.5381481,24.05773661,67.0973234,0.5,br,,
369,/S7,110.1781481,23.62773661,66.2673234,0.5,br,,
370,/S8,107.2681481,23.74773661,65.6173234,0.5,br,,
371,/S9,105.5381481,23.85773661,64.9673234,0.5,br,,
372,/S10,103.1081481,23.76773661,63.6373234,0.5,br,,
373,/S11,101.7781481,24.00773661,62.3573234,0.5,br,,
374,/S12,100.5881481,24.14773661,61.4073234,0.9,br,6,6 leaves
375,/S13,99.27814812,24.23773661,60.1673234,0.5,apbud,,ap bud
376,/S14,96.25814812,24.04773661,55.8073234,0.1,apbud,,ap bud
377,*^/A1/S1,136.04,6.31,68.36,3.5,br,,
378,/S2,134.36,5.31,67.12,2.5,br,,
379,/S3,130.93,3.92,65.32,2,br,,
380,/S4,127.32,2.28,63.71,2.2,br,,
381,/S5,125.95,1.35,63.18,2.8,br,,
382,/S6,125.11,1.31,61.9,1.8,br,,
383,/S7,123.25,1.18,59.84,1.8,br,,
384,/S8,119.93,0.09,58.23,1.7,br,,
385,/S9,116.05,-1.13,57.32,1.6,br,,
386,/S10,113.2,-2.13,56.6,2.1,br,,
387,/S11,111.87,-2.92,56.37,2.9,br,,
388,/S12,110.05,-3.15,56.6,1.6,br,,
389,/S13,106.96,-3.94,55.77,1.7,br,,
390,/S14,104.11,-4.53,54.62,1.5,br,,
391,/S15,101.01,-4.57,52.6,1.3,br,,
392,/S16,98.22,-4.89,49.8,1.2,br,,
393,/S17,94.06,-5.84,44.49,1.1,br,,
394,/S18,90.4,-6.81,40.35,1.1,br,,
396,/S20,89.31,-6.76,38.65,1.2,br,,
397,/S21,88.32,-7.08,36.8,1.2,br,,
398,/S22,86.82,-6.77,34.53,0.9,br,,
399,/S23,85.13,-6.72,30.14,1,br,13,13 leaves
400,/S24,84.08,-6.24,26.81,0.8,br,,
401,/S25,83.19,-6.34,22.49,0.6,br,,
402,/S26,82.34,-6.2,13.9,0.6,br,,
403,/S27,80.42,-6.82,4.58,0.5,br,,
404,/S28,79.75,-6.79,0.45,0.8,br,,
405,/S29,78.83,-6.68,-3.16,0.7,apbud,,ap bud
406,/S30,77.49,-6.81,-5.31,0.3,apbud,,ap bud
407,/S31,74.86,-6.9,-8.27,0.1,apbud,,ap bud
408,*^/A1/S1,126.12,2.04,63.54,3.2,br,,
409,/S2,124.63,0.72,65.26,2.6,br,,hollow and knot
410,/S3,122.75,1.82,66.54,1.3,br,,
411,/S4,119.12,2.37,67.7,1,br,,
412,/S5,115.09,3.02,68.49,0.9,br,,
413,/S6,109.66,3.31,69.27,0.8,br,,
414,/S7,106.92,4.69,70.3,1.1,br,,
415,/S8,105.48,5.51,69.89,0.7,br,,
416,/S9,102.13,6.59,69.61,0.5,br,,
417,/S10,99.82,7.49,69.01,0.7,br,,
418,/S11,98.76,7.68,67.98,0.7,br,8,8 leaves
419,/S12,97.49,8.09,66.32,0.5,apbud,,ap bud
420,/S13,95.62,8.14,62.79,0.1,apbud,,ap bud
421,*^/A1/S1,106.38,4.98,69.95,1.3,br,,
422,/S2,105.64,4.16,70.55,0.8,br,,
423,/S3,103.77,3.05,71.09,1,br,,
424,/S4,101.45,1.59,71.13,1.1,br,,
425,/S5,98.03,-0.41,70.84,1.2,br,,
426,/S6,92.27,-4.34,69.52,1.1,br,,
428,/S8,89.7,-6.07,68.53,1,br,,
429,/S9,88.87,-6.4,67.03,0.7,br,10,10 leaves
430,/S10,87.64,-6.54,65.52,0.5,apbud,,ap bud
431,/S11,85.65,-6.94,63.06,0.1,apbud,,ap bud
432,*^/A1/S1,106.45,5.21,69.78,1.3,br,,
433,/S2,106.34,6.19,69.5,0.7,br,,
434,/S3,105.08,10.06,69.3,0.7,br,,
